headword	id	sort_order	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	main_form	related_headword	dewk_main_form_on_variant	link_de	link_en
in sieben Sprachen schweigen	1355	1355	in sieben Sprachen + SCHWEIGEN		1	7 -> 1	1	7 -> 1							1				https://de.wiktionary.org/wiki/in_sieben_Sprachen_schweigen	
in Stein gemeißelt sein	1356	1356	in Stein gemeißelt + SEIN		3	4 -> 3	3	4 -> 3							3				https://de.wiktionary.org/wiki/in_Stein_gemei%C3%9Felt_sein	https://en.wiktionary.org/wiki/in_Stein_gemei%C3%9Felt_sein
in Strömen regnen	1357	1357	in Strömen + regn		7	12 -> 7	7	12 -> 7							7				https://de.wiktionary.org/wiki/in_Str%C3%B6men_regnen	
in Teufels Küche kommen	1358	1358	in Teufels Küche + KOMMEN		0	2 -> 0	0	2 -> 0							0				https://de.wiktionary.org/wiki/in_Teufels_K%C3%BCche_kommen	
in trockenen Tüchern	1359	1359	in trockenen Tüchern		0	0	0	0							0				https://de.wiktionary.org/wiki/in_trockenen_T%C3%BCchern	https://en.wiktionary.org/wiki/in_trockenen_T%C3%BCchern
in vollem Gange sein	1360	1360	in vollem Gange + SEIN		30	30 -> 30	30	30 -> 30							30				https://de.wiktionary.org/wiki/in_vollem_Gange_sein	
in vorauseilendem Gehorsam	1361	1361	in vorauseilendem Gehorsam		6	6	6	6							6				https://de.wiktionary.org/wiki/in_vorauseilendem_Gehorsam	
in Wind und Wetter	1362	1362	in Wind und Wetter		1	1	1	1							1	bei Wind und Wetter		bei Wind und Wetter	https://de.wiktionary.org/wiki/in_Wind_und_Wetter	
in Windeseile	1363	1363	in Windeseile		12	12	12	12							12				https://de.wiktionary.org/wiki/in_Windeseile	
in Zungen sprechen	1364	1364	in Zungen + SPRECHEN		1	3 -> 1	1	3 -> 1							1				https://de.wiktionary.org/wiki/in_Zungen_sprechen	
in Züchten	1365	1365	in Züchten		0	0	0	0							0				https://de.wiktionary.org/wiki/in_Z%C3%BCchten	
innere Stimme	1366	1366	innere Stimme		10	10	10	10							10				https://de.wiktionary.org/wiki/innere_Stimme	
ins Auge gehen	1367	1367	ins Auge + GEHEN		5	238 -> 5	6	238 -> 6							5				https://de.wiktionary.org/wiki/ins_Auge_gehen	https://en.wiktionary.org/wiki/ins_Auge_gehen
ins Blaue	1368	1368	ins Blaue		13	13	14	14							13				https://de.wiktionary.org/wiki/ins_Blaue	
ins Bockshorn jagen	1369	1369	ins Bockshorn + jag		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ins_Bockshorn_jagen	https://en.wiktionary.org/wiki/ins_Bockshorn_jagen
ins Fettnäpfchen treten	1370	1370	ins Fettnäpfchen + TRETEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ins_Fettn%C3%A4pfchen_treten	https://en.wiktionary.org/wiki/ins_Fettn%C3%A4pfchen_treten
ins Gedränge geraten	1371	1371	ins Gedränge + GERATEN		0	2 -> 0	0	2 -> 0							0	ins Gedränge kommen			https://de.wiktionary.org/wiki/ins_Gedr%C3%A4nge_geraten	
ins Gedränge kommen	1372	1372	ins Gedränge + KOMMEN		0	2 -> 0	0	2 -> 0							0	ins Gedränge kommen			https://de.wiktionary.org/wiki/ins_Gedr%C3%A4nge_kommen	
ins Gewicht fallen	1373	1373	ins Gewicht + FALLEN		55	56 -> 55	55	56 -> 55							55				https://de.wiktionary.org/wiki/ins_Gewicht_fallen	https://en.wiktionary.org/wiki/ins_Gewicht_fallen
ins gleiche Horn blasen	1374	1374	ins gleiche Horn + BLASEN		1	2 -> 1	1	2 -> 1							1	ins gleiche Horn blasen			https://de.wiktionary.org/wiki/ins_gleiche_Horn_blasen	https://en.wiktionary.org/wiki/ins_gleiche_Horn_blasen
ins gleiche Horn stoßen	1375	1375	ins gleiche Horn + STOẞEN		1	2 -> 1	1	2 -> 1							1	ins gleiche Horn blasen		ins gleiche Horn blasen	https://de.wiktionary.org/wiki/ins_gleiche_Horn_sto%C3%9Fen	
ins gleiche Horn tuten	1376	1376	ins gleiche Horn + TUTEN		0	2 -> 0	0	2 -> 0							0	ins gleiche Horn blasen		ins gleiche Horn blasen	https://de.wiktionary.org/wiki/ins_gleiche_Horn_tuten	
ins Gras beißen	1377	1377	ins Gras + BEIẞEN		3	8 -> 3	3	8 -> 3							3		das Zeitliche segnen		https://de.wiktionary.org/wiki/ins_Gras_bei%C3%9Fen	https://en.wiktionary.org/wiki/ins_Gras_bei%C3%9Fen
ins Hintertreffen geraten	1378	1378	ins Hintertreffen + GERATEN		42	44 -> 42	42	44 -> 42							42				https://de.wiktionary.org/wiki/ins_Hintertreffen_geraten	
ins kalte Wasser springen	1379	1379	ins kalte Wasser + SPRINGEN		1	7 -> 1	1	7 -> 1							1				https://de.wiktionary.org/wiki/ins_kalte_Wasser_springen	https://en.wiktionary.org/wiki/ins_kalte_Wasser_springen
ins Klo greifen	1380	1380	ins Klo + GREIFEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/ins_Klo_greifen	
ins Kraut schießen	1381	1381	ins Kraut + SCHIEẞEN		0	0 -> 0	0	0 -> 0							0	ins Kraut schießen	ins Kraut schießen		https://de.wiktionary.org/wiki/ins_Kraut_schie%C3%9Fen	https://en.wiktionary.org/wiki/ins_Kraut_schie%C3%9Fen
ins Lot kommen	1382	1382	ins Lot + KOMMEN		1	6 -> 1	1	6 -> 1							1				https://de.wiktionary.org/wiki/ins_Lot_kommen	
ins Ohr gehen	1383	1383	ins Ohr + GEHEN		5	30 -> 5	6	30 -> 6							5				https://de.wiktionary.org/wiki/ins_Ohr_gehen	https://en.wiktionary.org/wiki/ins_Ohr_gehen
ins rechte Licht rücken	1384	1384	ins rechte Licht + rück		7	12 -> 7	7	12 -> 7							7				https://de.wiktionary.org/wiki/ins_rechte_Licht_r%C3%BCcken	
ins Reich der Fabel gehören	1385	1385	ins Reich der Fabel + gehör		0	3 -> 0	0	3 -> 0							0				https://de.wiktionary.org/wiki/ins_Reich_der_Fabel_geh%C3%B6ren	
ins Reine schreiben	1386	1386	ins Reine + SCHREIBEN		2	12 -> 2	2	15 -> 2							2				https://de.wiktionary.org/wiki/ins_Reine_schreiben	
ins Schwarze treffen	1387	1387	ins Schwarze + TREFFEN		9	49 -> 9	9	49 -> 9							9		ins Schwarze treffen		https://de.wiktionary.org/wiki/ins_Schwarze_treffen	https://en.wiktionary.org/wiki/ins_Schwarze_treffen
ins Stocken geraten	1388	1388	ins Stocken + GERATEN		83	117 -> 83	83	118 -> 83							83				https://de.wiktionary.org/wiki/ins_Stocken_geraten	https://en.wiktionary.org/wiki/ins_Stocken_geraten
ins Wasser fallen	1389	1389	ins Wasser + FALLEN + MANUAL_REVIEW		63	306 -> 63 -> 63	64	306 -> 64 -> 64					8	8/63	8				https://de.wiktionary.org/wiki/ins_Wasser_fallen	https://en.wiktionary.org/wiki/ins_Wasser_fallen
ins Wasser gehen	1390	1390	ins Wasser + GEHEN + MANUAL_REVIEW		28	306 -> 28 -> 28	28	306 -> 28 -> 28					7	7/28	7				https://de.wiktionary.org/wiki/ins_Wasser_gehen	https://en.wiktionary.org/wiki/ins_Wasser_gehen
Ironie des Schicksals	1391	1391	Ironie des Schicksals		12	12	12	12							12				https://de.wiktionary.org/wiki/Ironie_des_Schicksals	
Irren ist menschlich	1392	1392	Irren ist menschlich		2	2	2	2							2				https://de.wiktionary.org/wiki/Irren_ist_menschlich	
Jacke wie Hose sein	1393	1393	Jacke wie Hose		2	2	2	2							2	Jacke wie Hose sein			https://de.wiktionary.org/wiki/Jacke_wie_Hose_sein	
jahraus, jahrein	1394	1394	jahraus, jahrein		1	1	1	1							1				https://de.wiktionary.org/wiki/jahraus%2C_jahrein	https://en.wiktionary.org/wiki/jahraus%2C_jahrein
je oller, je doller	1395	1395	je oller, je doller		0	0	0	0							0				https://de.wiktionary.org/wiki/je_oller%2C_je_doller	
jede Menge	1396	1396	jede Menge		71	71	71	71							71				https://de.wiktionary.org/wiki/jede_Menge	
jedem das Seine	1397	1397	jedem das Seine		11	11	11	11							11				https://de.wiktionary.org/wiki/jedem_das_Seine	
jedem Tierchen sein Pläsierchen	1398	1398	jedem Tierchen SEINNA Pläsierchen		0	0	0	0							0				https://de.wiktionary.org/wiki/jedem_Tierchen_sein_Pl%C3%A4sierchen	
jeden Pfennig dreimal umdrehen	1399	1399	Pfennig + dreimal + \bum(\b|d|z|g) + dreh		0	280 -> 0 -> 0 -> 0	0	282 -> 0 -> 0 -> 0							0	jeden Pfennig dreimal umdrehen			https://de.wiktionary.org/wiki/jeden_Pfennig_dreimal_umdrehen	
jeden Pfennig dreimal umdrehen müssen	1400	1400	Pfennig + dreimal + umdrehen + MÜSSEN		0	280 -> 0 -> 0 -> 0	0	282 -> 0 -> 0 -> 0							0	jeden Pfennig dreimal umdrehen			https://de.wiktionary.org/wiki/jeden_Pfennig_dreimal_umdrehen_m%C3%BCssen	
jeden Pfennig zweimal umdrehen	1401	1401	Pfennig + zweimal + \bum(\b|d|z|g) + dreh		0	280 -> 0 -> 0 -> 0	0	282 -> 0 -> 0 -> 0							0	jeden Pfennig dreimal umdrehen			https://de.wiktionary.org/wiki/jeden_Pfennig_zweimal_umdrehen	
jeden Pfennig zweimal umdrehen müssen	1402	1402	Pfennig + zweimal + umdrehen + MÜSSEN		0	280 -> 0 -> 0 -> 0	0	282 -> 0 -> 0 -> 0							0	jeden Pfennig dreimal umdrehen			https://de.wiktionary.org/wiki/jeden_Pfennig_zweimal_umdrehen_m%C3%BCssen	
jeder hat sein Bündel zu tragen	1403	1403	SEINNA Bündel zu tragen		0	0	0	0							0				https://de.wiktionary.org/wiki/jeder_hat_sein_B%C3%BCndel_zu_tragen	
jedes Wort auf die Goldwaage legen	1404	1404	Wort + auf die Goldwaage + LEGEN		0	5635 -> 0 -> 0	0	5651 -> 0 -> 0							0	jedes Wort auf die Goldwaage legen			https://de.wiktionary.org/wiki/jedes_Wort_auf_die_Goldwaage_legen	https://en.wiktionary.org/wiki/jedes_Wort_auf_die_Goldwaage_legen
jedes Wort auf die Goldwage legen	1405	1405	Wort + auf die Goldwage + LEGEN		0	5635 -> 0 -> 0	0	5651 -> 0 -> 0							0	jedes Wort auf die Goldwaage legen		jedes Wort auf die Goldwaage legen	https://de.wiktionary.org/wiki/jedes_Wort_auf_die_Goldwage_legen	
jemand bekommt Wasser auf die Mühle	1406	1406	Wasser auf die Mühle + BEKOMMEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/jemand_bekommt_Wasser_auf_die_M%C3%BChle	
jemand hat einen Zahn drauf	1407	1407	einen Zahn drauf + HABEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/jemand_hat_einen_Zahn_drauf	
jemandem alles aus der Nase ziehen müssen	1408	1408	alles aus der Nase + ZIEHEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_alles_aus_der_Nase_ziehen_m%C3%BCssen	
jemandem am Arsch vorbeigehen	1409	1409	am Arsch + \bvorbei(\b|z|g) + _GEHEN		1	6 -> 1 -> 1	1	6 -> 1 -> 1							1				https://de.wiktionary.org/wiki/jemandem_am_Arsch_vorbeigehen	
jemandem am Herzen liegen	1410	1410	am Herzen + LIEGEN		86	111 -> 86	86	111 -> 86							86				https://de.wiktionary.org/wiki/jemandem_am_Herzen_liegen	
jemandem an die Wäsche gehen	1411	1411	an die Wäsche + GEHEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_an_die_W%C3%A4sche_gehen	
jemandem ans Bein pissen	1412	1412	ans Bein + piss		0	1 -> 0	0	1 -> 0							0				https://de.wiktionary.org/wiki/jemandem_ans_Bein_pissen	
jemandem ans Herz gewachsen sein	1413	1413	ans Herz + gewachsen + SEIN		4	29 -> 4 -> 4	4	29 -> 4 -> 4							4				https://de.wiktionary.org/wiki/jemandem_ans_Herz_gewachsen_sein	
jemandem auf den Geist gehen	1414	1414	auf den Geist + GEHEN		0	6 -> 0	0	6 -> 0							0	jemandem auf den Geist gehen			https://de.wiktionary.org/wiki/jemandem_auf_den_Geist_gehen	
jemandem auf den Keks gehen	1415	1415	auf den Keks + GEHEN		1	1 -> 1	1	1 -> 1							1	jemandem auf den Keks gehen			https://de.wiktionary.org/wiki/jemandem_auf_den_Keks_gehen	
jemandem auf den Nägeln brennen	1416	1416	auf den Nägeln + BRENNEN		1	1 -> 1	1	1 -> 1							1	jemandem unter den Nägeln brennen			https://de.wiktionary.org/wiki/jemandem_auf_den_N%C3%A4geln_brennen	
jemandem auf den Senkel gehen	1417	1417	auf den Senkel + GEHEN		0	0 -> 0	0	0 -> 0							0	jemandem auf den Senkel gehen	jemandem auf den Wecker gehen	jemandem auf den Wecker gehen	https://de.wiktionary.org/wiki/jemandem_auf_den_Senkel_gehen	
jemandem auf den Wecker fallen	1418	1418	auf den Wecker + FALLEN		0	0 -> 0	0	0 -> 0							0	jemandem auf den Wecker gehen	jemandem auf den Wecker gehen	jemandem auf den Wecker gehen	https://de.wiktionary.org/wiki/jemandem_auf_den_Wecker_fallen	
jemandem auf den Wecker gehen	1419	1419	auf den Wecker + GEHEN		0	0 -> 0	0	0 -> 0							0	jemandem auf den Wecker gehen	jemandem auf den Wecker gehen		https://de.wiktionary.org/wiki/jemandem_auf_den_Wecker_gehen	
jemandem auf den Zahn fühlen	1420	1420	auf den Zahn + FÜHLEN		5	7 -> 5	5	7 -> 5							5	jemandem auf den Zahn fühlen			https://de.wiktionary.org/wiki/jemandem_auf_den_Zahn_f%C3%BChlen	
jemandem auf der Nase herumtanzen	1421	1421	auf der Nase + \bherum(\b|tanz|zutanzen|getanzt) + tanz	auf der Nase + \bherum(\b|t|z|g) + tanz	2	14 -> 2 -> 2	2	14 -> 2 -> 2	2	14 -> 2 -> 2	2	14 -> 2 -> 2			2				https://de.wiktionary.org/wiki/jemandem_auf_der_Nase_herumtanzen	
jemandem auf der Tasche liegen	1422	1422	auf der Tasche + LIEGEN		2	3 -> 2	2	3 -> 2							2				https://de.wiktionary.org/wiki/jemandem_auf_der_Tasche_liegen	
jemandem auf der Zunge liegen	1423	1423	auf der Zunge + LIEGEN		4	19 -> 4	4	19 -> 4							4				https://de.wiktionary.org/wiki/jemandem_auf_der_Zunge_liegen	
jemandem auf die Finger klopfen	1424	1424	auf die Finger + klopf		0	7 -> 0	0	7 -> 0							0				https://de.wiktionary.org/wiki/jemandem_auf_die_Finger_klopfen	
jemandem auf die Füße treten	1425	1425	auf die Füße + TRETEN		0	13 -> 0	0	13 -> 0							0				https://de.wiktionary.org/wiki/jemandem_auf_die_F%C3%BC%C3%9Fe_treten	
jemandem auf die Hühneraugen treten	1426	1426	auf die Hühneraugen + TRETEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_auf_die_H%C3%BChneraugen_treten	
jemandem auf die Schliche kommen	1427	1427	auf die Schliche + KOMMEN		29	29 -> 29	29	29 -> 29							29				https://de.wiktionary.org/wiki/jemandem_auf_die_Schliche_kommen	
jemandem auf die Schulter klopfen	1428	1428	auf die Schulter + klopf		3	24 -> 3	3	24 -> 3							3				https://de.wiktionary.org/wiki/jemandem_auf_die_Schulter_klopfen	
jemandem auf die Sprünge helfen	1429	1429	auf die Sprünge + HELFEN		6	6 -> 6	6	6 -> 6							6	jemandem auf die Sprünge helfen			https://de.wiktionary.org/wiki/jemandem_auf_die_Spr%C3%BCnge_helfen	
jemandem aufs Dach steigen	1430	1430	aufs Dach + STEIGEN		0	14 -> 0	0	14 -> 0							0				https://de.wiktionary.org/wiki/jemandem_aufs_Dach_steigen	
jemandem aus der Hand fressen	1431	1431	aus der Hand + FRESSEN		4	199 -> 4	4	199 -> 4							4				https://de.wiktionary.org/wiki/jemandem_aus_der_Hand_fressen	
jemandem aus der Patsche helfen	1432	1432	aus der Patsche + HELFEN	aus der Klemme + HELFEN	11	11 -> 11	11	11 -> 11	1	1 -> 1	1	1 -> 1			11				https://de.wiktionary.org/wiki/jemandem_aus_der_Patsche_helfen	
jemandem Avancen machen	1433	1433	Avancen + MACHEN		31	68 -> 31	31	68 -> 31							31	jemandem Avancen machen			https://de.wiktionary.org/wiki/jemandem_Avancen_machen	
jemandem Bescheid geben	1434	1434	Bescheid + GEBEN		15	232 -> 15	16	234 -> 16							15		jemandem Bescheid geben		https://de.wiktionary.org/wiki/jemandem_Bescheid_geben	
jemandem bleibt der Bissen im Hals stecken	1435	1435	der Bissen +  im Hals		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_bleibt_der_Bissen_im_Hals_stecken	
jemandem bleibt die Sprache weg	1436	1436	die Sprache + \bweg(\b|b|z|g) + _BLEIBEN		1	879 -> 2 -> 1	1	879 -> 3 -> 1							1		jemandem die Sprache verschlagen		https://de.wiktionary.org/wiki/jemandem_bleibt_die_Sprache_weg	
jemandem bleibt die Spucke weg	1437	1437	die Spucke + \bweg(\b|b|z|g) + _BLEIBEN		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1				https://de.wiktionary.org/wiki/jemandem_bleibt_die_Spucke_weg	
jemandem Brief und Siegel geben	1438	1438	Brief und Siegel + GEBEN		0	1 -> 0	0	1 -> 0							0				https://de.wiktionary.org/wiki/jemandem_Brief_und_Siegel_geben	
jemandem böhmische Dörfer sein	1439	1439	böhmische Dörfer + SEIN		1	2 -> 1	1	2 -> 1							1				https://de.wiktionary.org/wiki/jemandem_b%C3%B6hmische_D%C3%B6rfer_sein	
jemandem Dampf machen	1440	1440	Dampf + MACHEN		5	501 -> 5	5	505 -> 5							5				https://de.wiktionary.org/wiki/jemandem_Dampf_machen	
jemandem das Fell gerben	1441	1441	das Fell + gerb		2	306 -> 2	2	306 -> 2							2	jemandem das Fell gerben			https://de.wiktionary.org/wiki/jemandem_das_Fell_gerben	
jemandem das Fell über die Ohren ziehen	1442	1442	das Fell + über die Ohren + ZIEHEN		3	306 -> 3 -> 3	3	306 -> 3 -> 3							3	jemandem das Fell über die Ohren ziehen			https://de.wiktionary.org/wiki/jemandem_das_Fell_%C3%BCber_die_Ohren_ziehen	
jemandem das Gas abdrehen	1443	1443	das Gas + \bab(\b|d|z|g) + dreh		0	126 -> 14 -> 0	0	129 -> 17 -> 0							0				https://de.wiktionary.org/wiki/jemandem_das_Gas_abdrehen	
jemandem das Hackl ins Kreuz hauen	1444	1444	das Hackl ins Kreuz + HAUEN		0	0 -> 0	0	0 -> 0							0	jemandem das Hackl ins Kreuz hauen			https://de.wiktionary.org/wiki/jemandem_das_Hackl_ins_Kreuz_hauen	
jemandem das Hackl ins Kreuz werfen	1445	1445	das Hackl ins Kreuz + WERFEN		0	0 -> 0	0	0 -> 0							0	jemandem das Hackl ins Kreuz hauen			https://de.wiktionary.org/wiki/jemandem_das_Hackl_ins_Kreuz_werfen	
jemandem das Handwerk legen	1446	1446	das Handwerk + LEGEN		32	217 -> 32	32	217 -> 32							32				https://de.wiktionary.org/wiki/jemandem_das_Handwerk_legen	
jemandem das Herz abdrücken	1447	1447	das Herz + \bab(\b|d|z|g) + drück		0	331 -> 5 -> 0	0	331 -> 5 -> 0							0				https://de.wiktionary.org/wiki/jemandem_das_Herz_abdr%C3%BCcken	
jemandem das Herz brechen	1448	1448	das Herz + BRECHEN + MANUAL_REVIEW		18	331 -> 18 -> 18	18	331 -> 18 -> 18							18				https://de.wiktionary.org/wiki/jemandem_das_Herz_brechen	
jemandem das Kraut ausschütten	1449	1449	das Kraut + \baus(\b|s|z|g) + schütte		0	15 -> 0 -> 0	0	15 -> 0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_das_Kraut_aussch%C3%BCtten	
jemandem das letzte Geleit geben	1450	1450	das letzte Geleit + GEBEN		11	12 -> 11	11	12 -> 11							11				https://de.wiktionary.org/wiki/jemandem_das_letzte_Geleit_geben	
jemandem das Ohr abkauen	1451	1451	das Ohr + \bab(\b|k|z|g) + KAUEN		0	27 -> 1 -> 0	0	27 -> 1 -> 0							0	jemandem das Ohr abkauen			https://de.wiktionary.org/wiki/jemandem_das_Ohr_abkauen	https://en.wiktionary.org/wiki/jemandem_das_Ohr_abkauen
jemandem das Salz in der Suppe nicht gönnen	1452	1452	das Salz in der Suppe + nicht + gönn		0	1 -> 0 -> 0	0	1 -> 0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_das_Salz_in_der_Suppe_nicht_g%C3%B6nnen	
jemandem das Wasser abgraben	1453	1453	das Wasser + \bab(\b|zugraben|g) + _GRABEN	das Wasser + \bab(\b|z|g) + _GRABEN	16	1866 -> 163 -> 16	25	1868 -> 172 -> 25	17	1866 -> 173 -> 17	29	1868 -> 184 -> 29			16				https://de.wiktionary.org/wiki/jemandem_das_Wasser_abgraben	
jemandem den Buckel runterrutschen	1454	1454	den Buckel + \brunter(\b|r|z|g) + rutsch		0	3 -> 0 -> 0	0	3 -> 0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_den_Buckel_runterrutschen	
jemandem den Garaus machen	1455	1455	den Garaus + MACHEN		9	9 -> 9	9	9 -> 9							9				https://de.wiktionary.org/wiki/jemandem_den_Garaus_machen	
jemandem den Geldhahn abdrehen	1456	1456	den Geldhahn + \bab(\b|d|z|g) + dreh		0	3 -> 0 -> 0	0	3 -> 0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_den_Geldhahn_abdrehen	
jemandem den Hals abdrehen	1457	1457	den Hals + \bab(\b|d|z|g) + dreh		0	233 -> 5 -> 0	0	233 -> 5 -> 0							0				https://de.wiktionary.org/wiki/jemandem_den_Hals_abdrehen	
jemandem den Hof machen	1458	1458	den Hof + MACHEN		40	797 -> 40	41	797 -> 41							40	jemandem den Hof machen			https://de.wiktionary.org/wiki/jemandem_den_Hof_machen	
jemandem den Kopf verdrehen	1459	1459	den Kopf + verdreh		14	828 -> 14	14	828 -> 14							14				https://de.wiktionary.org/wiki/jemandem_den_Kopf_verdrehen	
jemandem den Laufpass geben	1460	1460	den Laufpass + GEBEN	den Laufpass + BEKOMMEN	4	5 -> 4	4	5 -> 4	1	5 -> 1	1	5 -> 1			4	jemandem den Laufpass geben			https://de.wiktionary.org/wiki/jemandem_den_Laufpass_geben	
jemandem den Leviten lesen	1461	1461	den Leviten + LESEN		0	2 -> 0	0	2 -> 0							0	jemandem die Leviten lesen		jemandem die Leviten lesen	https://de.wiktionary.org/wiki/jemandem_den_Leviten_lesen	
jemandem den Marsch blasen	1462	1462	den Marsch + BLASEN		0	75 -> 0	0	75 -> 0							0				https://de.wiktionary.org/wiki/jemandem_den_Marsch_blasen	
jemandem den Mund verbieten	1463	1463	den Mund + VERBIETEN		1	232 -> 1	1	232 -> 1							1				https://de.wiktionary.org/wiki/jemandem_den_Mund_verbieten	
jemandem den Rücken freihalten	1464	1464	den Rücken + \bfrei(\b|h|z|g) + _HALTEN		14	485 -> 19 -> 14	14	485 -> 20 -> 14							14				https://de.wiktionary.org/wiki/jemandem_den_R%C3%BCcken_freihalten	
jemandem den Rücken stärken	1465	1465	den Rücken + stärk		23	485 -> 23	23	485 -> 23							23	jemandem den Rücken stärken			https://de.wiktionary.org/wiki/jemandem_den_R%C3%BCcken_st%C3%A4rken	
jemandem den Schwarzen Peter zuschieben	1466	1466	den Schwarzen Peter + \bzu(\b|sch|zuschieben|geschoben) + _SCHIEBEN	den Schwarzen Peter + \bzu(\b|s|z|g) + _SCHIEBEN	1	1 -> 1 -> 1	1	1 -> 1 -> 1	1	1 -> 1 -> 1	1	1 -> 1 -> 1			1	jemandem den Schwarzen Peter zuschieben			https://de.wiktionary.org/wiki/jemandem_den_Schwarzen_Peter_zuschieben	
jemandem den Schwarzen Peter zuspielen	1467	1467	den Schwarzen Peter + \bzu(\b|s|z|g) + spiel		0	1 -> 1 -> 0	0	1 -> 1 -> 0							0	jemandem den Schwarzen Peter zuschieben		jemandem den Schwarzen Peter zuschieben	https://de.wiktionary.org/wiki/jemandem_den_Schwarzen_Peter_zuspielen	
jemandem den Vogel zeigen	1468	1468	den Vogel + ZEIGEN		0	46 -> 0	0	46 -> 0							0	jemandem einen Vogel zeigen		jemandem einen Vogel zeigen	https://de.wiktionary.org/wiki/jemandem_den_Vogel_zeigen	
jemandem den Wind aus den Segeln nehmen	1469	1469	den Wind aus den Segeln + NEHMEN		4	4 -> 4	4	4 -> 4							4				https://de.wiktionary.org/wiki/jemandem_den_Wind_aus_den_Segeln_nehmen	
jemandem den Zahn ziehen	1470	1470	den Zahn + ZIEHEN		1	24 -> 1	1	24 -> 1							1	jemandem den Zahn ziehen			https://de.wiktionary.org/wiki/jemandem_den_Zahn_ziehen	
jemandem die Butter vom Brot nehmen	1471	1471	die Butter + vom Brot + NEHMEN		1	11 -> 1 -> 1	1	11 -> 1 -> 1							1	jemandem die Butter vom Brot nehmen	jemandem die Butter vom Brot nehmen		https://de.wiktionary.org/wiki/jemandem_die_Butter_vom_Brot_nehmen	
jemandem die Daumen drücken	1472	1472	die Daumen + drück		3	7 -> 3	3	7 -> 3							3				https://de.wiktionary.org/wiki/jemandem_die_Daumen_dr%C3%BCcken	
jemandem die Flötentöne beibringen	1473	1473	die Flötentöne + \bbei(\b|b|z|g) + _BRINGEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	jemandem die Flötentöne beibringen			https://de.wiktionary.org/wiki/jemandem_die_Fl%C3%B6tent%C3%B6ne_beibringen	
jemandem die Fresse polieren	1474	1474	die Fresse + polier		0	6 -> 0	0	6 -> 0							0				https://de.wiktionary.org/wiki/jemandem_die_Fresse_polieren	
jemandem die Füße küssen	1475	1475	die Füße + küss		3	281 -> 3	3	282 -> 3							3				https://de.wiktionary.org/wiki/jemandem_die_F%C3%BC%C3%9Fe_k%C3%BCssen	
jemandem die Gurgel abdrehen	1476	1476	die Gurgel + \bab(\b|d|z|g) + dreh		0	5 -> 0 -> 0	0	5 -> 0 -> 0							0				https://de.wiktionary.org/wiki/jemandem_die_Gurgel_abdrehen	
jemandem die Hammelbeine lang ziehen	1477	1477	die Hammelbeine + lang + ZIEHEN		0	1 -> 0 -> 0	0	1 -> 0 -> 0							0	jemandem die Hammelbeine langziehen		jemandem die Hammelbeine langziehen	https://de.wiktionary.org/wiki/jemandem_die_Hammelbeine_lang_ziehen	
jemandem die Hammelbeine langziehen	1478	1478	Hammelbeine + \blang(\b|z|z|g) + _ZIEHEN		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	jemandem die Hammelbeine langziehen			https://de.wiktionary.org/wiki/jemandem_die_Hammelbeine_langziehen	
jemandem die Hörner aufsetzen	1479	1479	die Hörner + \bauf(\b|s|z|g) + _SETZEN		2	57 -> 8 -> 2	2	57 -> 9 -> 2							2	jemandem Hörner aufsetzen			https://de.wiktionary.org/wiki/jemandem_die_H%C3%B6rner_aufsetzen	
jemandem die Hörner zeigen	1480	1480	die Hörner + ZEIGEN		0	57 -> 0	0	57 -> 0							0				https://de.wiktionary.org/wiki/jemandem_die_H%C3%B6rner_zeigen	
jemandem die kalte Schulter zeigen	1481	1481	die kalte Schulter	die kalte Schulter + ZEIGEN	12	12	12	12	12	12 -> 12	12	12 -> 12			12	jemandem die kalte Schulter zeigen			https://de.wiktionary.org/wiki/jemandem_die_kalte_Schulter_zeigen	
jemandem die Laune verhageln	1482	1482	die Laune + verhag(el|le)		0	7 -> 0	0	7 -> 0							0				https://de.wiktionary.org/wiki/jemandem_die_Laune_verhageln	
jemandem die Leviten lesen	1483	1483	die Leviten + LESEN		1	7 -> 1	1	7 -> 1							1	jemandem die Leviten lesen			https://de.wiktionary.org/wiki/jemandem_die_Leviten_lesen	
