headword	orig order	re1	re2
jemandem verschlägt es die Sprache	1588	es + die Sprache + VERSCHLAGEN	
jemandem zu Bewusstsein kommen	1589	zu Bewusstsein + KOMMEN	
jemandem zu nahe treten	1590	zu nahe + TRETEN	
jemandem zum Bewusstsein kommen	1591	zum Bewusstsein + KOMMEN	
jemandem zur Hand gehen	1592	zur Hand + GEHEN	
jemandem zur Last fallen	1593	zur Last + FALLEN	
jemandem zur Seite springen	1594	zur Seite + SPRINGEN	
jemandem zur Seite treten	1595	zur Seite + TRETEN	
jemandem über den Weg laufen	1596	über den Weg + LAUFEN	
jemanden am Schlafittchen haben	1597	am Schlafittchen	
jemanden an den Bettelstab bringen	1598	an den Bettelstab + BRINGEN	
jemanden an den Galgen bringen	1599	an den Galgen + BRINGEN	
jemanden an der Nase herumführen	1600	an der Nase + \bherum(\b|führ|zuführen|geführt) + FÜHREN	an der Nase + \bherum(\b|f|z|g) + FÜHREN
jemanden an die Kandare bekommen	1601	an die Kandare + BEKOMMEN	
jemanden an die Kandare bringen	1602	an die Kandare + BRINGEN	
jemanden an die Kandare nehmen	1603	an die Kandare + NEHMEN	
jemanden an die Wand spielen	1604	an die Wand + spiel	
jemanden an die Wand stellen	1605	an die Wand + STELLEN	
jemanden auf den Arm nehmen	1606	auf den Arm + NEHMEN	
jemanden auf den Plan rufen	1607	auf den Plan + RUFEN	
jemanden auf die Folter spannen	1608	auf die Folter + spann	
jemanden auf die Hörner nehmen	1609	auf die Hörner + NEHMEN	
jemanden auf die Palme bringen	1610	auf die Palme + BRINGEN	
jemanden auf die Schaufel nehmen	1611	auf die Schaufel + NEHMEN	
jemanden auf die Schippe nehmen	1612	auf die Schippe + NEHMEN	
jemanden aufs Altenteil schicken	1613	aufs Altenteil + schick	
jemanden aufs Korn nehmen	1614	aufs Korn + NEHMEN	
jemanden aus der Gosse auflesen	1615	aus der Gosse + \bauf(\b|l|z|g) + _LESEN	
jemanden ausnehmen wie eine Weihnachtsgans	1616	wie eine Weihnachtsgans	
jemanden bringen keine zehn Pferde irgendwohin	1617	keine zehn Pferde + BRINGEN	
jemanden den Teufel scheren	1618	den Teufel + scher	
jemanden den Wölfen zum Fraß vorwerfen	1619	den Wölfen zum Fraß + \bvor(\b|w|z|g) + _WERFEN	
jemanden durch den Kakao ziehen	1620	durch den Kakao + ZIEHEN	
jemanden durch den Wolf drehen	1621	durch den Wolf + dreh	durch den Fleischwolf + dreh
jemanden einen feuchten Kehricht angehen	1622	einen feuchten Kehricht + \ban(\b|z|g) + _GEHEN	
jemanden einen Kopf kürzer machen	1623	einen Kopf kürzer + MACHEN	
jemanden für dumm verkaufen	1624	für dumm + verkauf	
jemanden für voll ansehen	1625	für voll + \ban(\b|s|z|g) + _SEHEN	
jemanden für voll nehmen	1626	für voll + NEHMEN	
jemanden fürchten wie der Teufel das Weihwasser	1627	wie der Teufel + das Weihwasser	
jemanden gefressen haben	1628	gefressen + HABEN + MANUAL_REVIEW	
jemanden gut im Zug haben	1629	gut im Zug + HABEN	
jemanden hellhörig machen	1630	hellhörig + MACHEN	
jemanden hinter die Fichte führen	1631	hinter die Fichte + FÜHREN	
jemanden hinters Licht führen	1632	hinters Licht + FÜHREN	
jemanden im eigenen Saft schmoren lassen	1633	im eigenen Saft schmoren + LASSEN	
jemanden im Regen stehen lassen	1634	im Regen stehen + LASSEN	
jemanden im Stich lassen	1635	im Stich + LASSEN	
jemanden in Atem halten	1636	in Atem + HALTEN	
jemanden in den April schicken	1637	in den April + schick	
jemanden in den Senkel stellen	1638	in den Senkel + STELLEN	
jemanden in die Finger bekommen	1639	in die Finger + BEKOMMEN	
jemanden in die Finger kriegen	1640	in die Finger + KRIEGEN	
jemanden in die Knie zwingen	1641	in die Knie + ZWINGEN	
jemanden in die Mangel nehmen	1642	in die Mangel + NEHMEN	
jemanden in die Wüste schicken	1643	in die Wüste + schick	
jemanden in die Zange nehmen	1644	in die Zange + NEHMEN	
jemanden in Watte packen	1645	in Watte + pack	
jemanden in Zuckerwatte packen	1646	in Zuckerwatte + pack	
jemanden ins Herz schließen	1647	ins Herz + SCHLIEẞEN	
jemanden ins kalte Wasser werfen	1648	ins Kalte Wasser + WERFEN	
jemanden koram nehmen	1649	koram + NEHMEN	
jemanden kreuzweise können	1650	kreuzweise + KÖNNEN	
jemanden Lügen strafen	1651	Lügen + straf	
jemanden mit Glacéhandschuhen anfassen	1652	mit Glac.handschuhen + \ban(\b|f|z|g) + fass	
jemanden mit ins Boot holen	1653	ins Boot + HOLEN	
jemanden mit offenen Armen aufnehmen	1654	mit offenen Armen + \bauf(\b|n|zunehmen|genommen) + _NEHMEN	mit offenen Armen + \bauf(\b|n|z|g) + _NEHMEN
jemanden mit offenen Armen empfangen	1655	mit offenen Armen + EMPFANGEN	
jemanden mit Samthandschuhen anfassen	1656	mit Samthandschuhen + \ban(\b|f|z|g) + fass	
jemanden Mores lehren	1657	Mores + lehr	
jemanden Moritz lehren	1658	Moritz + lehr	
jemanden mundtot machen	1659	mundtot + MACHEN	
jemanden nicht für voll nehmen	1660	jemanden nicht für voll nehmen	
jemanden nicht mit dem Arsch angucken	1661	nicht + mit dem Arsch + \ban(\b|s|z|g) + guck	
jemanden nicht mit dem Arsch ansehen	1662	nicht + mit dem Arsch + \ban(\b|s|z|g) + _SEHEN	
jemanden teuer zu stehen kommen	1663	teuer zu stehen + KOMMEN	
jemanden um den kleinen Finger wickeln	1664	um den Finger + wick(el|le)	um den kleinen Finger + wickel
jemanden um die Ecke bringen	1665	um die Ecke + BRINGEN	
jemanden um Lohn und Brot bringen	1666	um Lohn und Brot + BRINGEN	
jemanden ungespitzt in den Boden hauen	1667	ungespitz + in den Boden + HAUEN	
jemanden ungespitzt in den Boden rammen	1668	ungespitzt + in den Boden + ramm	
jemanden ungespitzt in den Boden schlagen	1669	ungespitzt + in den Boden + SCHLAGEN	
jemanden unter der Fuchtel haben	1670	unter der Fuchtel + HABEN	
jemanden unter die Erde bringen	1671	unter die Erde + BRINGEN	
jemanden unter Druck setzen	1672	unter Druck + SETZEN	
jemanden unter seine Fittiche nehmen	1673	unter SEINPA Fittiche + NEHMEN	
jemanden vom Hocker hauen	1674	vom Hocker + HAUEN	
jemanden vom Hocker reißen	1675	vom Hocker + REIẞEN	
jemanden vom rechten Weg abbringen	1676	vom rechten Weg + \bab(\b|b|z|g) + _BRINGEN	vom rechten Weg + \bab(b|k|z|g) + _KOMMEN
jemanden vor seinen Karren spannen	1677	vor seinen Karren + spann	
jemanden wie Luft behandeln	1678	wie Luft + behand(el|le)	
jemanden windelweich prügeln	1679	windelweich + prüg(el|le)	
jemanden windelweich schlagen	1680	winderweich + SCHLAGEN	
jemanden zum Hahnrei machen	1681	zum Hahnrei + MACHEN	
jemanden zum Narren halten	1682	zum Narren + HALTEN	
jemanden zum Teufel schicken	1683	zum Teufel + schick	
jemanden zur Minna machen	1684	zur Minna + MACHEN	
jemanden zur Rede stellen	1685	zur Rede + STELLEN	
jemanden zur Schnecke machen	1686	zur Schnecke + MACHEN	
jemanden zur Seite nehmen	1687	zur Seite + NEHMEN	
jemanden zur Strecke bringen	1688	zur Strecke + BRINGEN	
jemanden über den Haufen fahren	1689	über den Haufen + FAHREN	
jemanden über den Haufen rennen	1690	über den Haufen + RENNEN	
jemanden über den Löffel barbieren	1691	über den Löffel + barbier	
jemanden über den Tisch ziehen	1692	über den Tisch + ZIEHEN	
jemanden übers Knie legen	1693	übers Knie + LEGEN	
jemandes bessere Hälfte	1694	SEINFN bessere Hälfte	
jemandes Herr werden	1695	Herr + WERDEN + MANUAL_REVIEW	
jemandes Kreise stören	1696	SEINFA Kreise + STÖREN	
jemandes letztes Stündlein hat geschlagen	1697	Stündlein + geschlagen + HABEN	
jemandes Mann sein	1698	SEINMN Mann + SEIN	
jemandes Strümpfe ziehen Wasser	1699	Strümpfe + (ziehen|zogen|gezogen) + Wasser	
jetzt schlägts dreizehn	1700	jetzt schlägt.?s dreizehn	
Jubel, Trubel, Heiterkeit	1701	Jubel + Trubel + Heiterkeit	
junges Gemüse	1702	\b[Jj]unge[smn]? Gemüses?\b	
kalte Dusche	1703	\b[Kk]alte\b.*Dusche\b	
kalte Füße bekommen	1704	kalte Füße + BEKOMMEN	
kaltes Blut bewahren	1705	kaltes Blut + \bbewahr	
katholischer als der Papst sein	1706	katholischer + als der Papst + SEIN	
kein Aas	1707	kein\w* Aas	kein Aas
kein Arsch	1708	kein\w* Arsch	
kein Auge zutun	1709	kein Auge + \bzu(\b|t|z|g) + ZUTUN	
kein Blatt vor den Mund nehmen	1710	kein Blatt + vor den Mund + NEHMEN	
kein Einsehen haben	1711	kein Einsehen + HABEN	
kein gutes Haar an etwas lassen	1712	kein gutes Haar + an + LASSEN	
kein gutes Haar an jemandem lassen	1713	kein gutes Haar + an + LASSEN	
kein heuriger Hase sein	1714	kein heuriger Hase + SEIN	
kein Kind von Traurigkeit sein	1715	kein\w* Kind von Traurigkeit	
kein Krösus sein	1716	kein Krösus + SEIN	
kein schöner Zug von jemandem sein	1717	kein schöner Zug (da)?von + SEIN	
kein Sterbenswörtchen sagen	1718	kein Sterbenswörtchen + SAGEN	
kein unbeschriebenes Blatt sein	1719	kein unbeschriebenes Blatt + SEIN	
kein Wunder	1720	kein\w* Wunder	
kein Wässerchen trüben können	1721	kein Wässerchen + trüben + KÖNNEN	
kein Zuckerschlecken sein	1722	kein Zuckerschlecken + SEIN	
keine Aktien in etwas haben	1723	keine Aktien in + HABEN	
keine Augen im Kopf haben	1724	keine Augen im Kopf + HABEN	
keine Eier in der Hose haben	1725	keine Eier in der Hose + HABEN	
keine Hand rühren	1726	keine Hand + rühr	
keine Menschenseele	1727	keine\w* Menschenseele	
keine Rolle spielen	1728	keine Rolle + spiel	
keine Sau	1729	keine\w* Sau	
keine Schnitte haben	1730	keine Schnitte + HABEN	
keine Verwandten kennen	1731	keine Verwandten + KENNEN	
keinen Abgang finden	1732	keinen Abgang + FINDEN	
keinen Arsch in der Hose haben	1733	keinen Arsch in der Hose + HABEN	
keinen blassen Dunst haben	1734	keinen blassen Dunst + HABEN	
keinen blassen Schimmer haben	1735	keinen (blassen)*Schimmer + HABEN	
keinen Bock haben	1736	keinen Bock	
keinen Fick auf etwas geben	1737	keinen Fick auf + GEBEN	
keinen Finger krumm machen	1738	keinen Finger krumm + MACHEN	
keinen Finger rühren	1739	keinen Finger + rühr	
keinen Groschen wert sein	1740	keinen Groschen wert + SEIN	
keinen guten Faden an jemandem lassen	1741	keinen guten Faden + an + LASSEN	
keinen guten Faden miteinander spinnen	1742	keinen guten Faden + einander + spinn	
keinen Hehl aus etwas machen	1743	\b([Kk]einen|[Nn]ie einen) Hehl\b + aus + MACHEN	einen Hehl + aus +MACHEN
keinen Heller wert sein	1744	keinen Heller wert + SEIN	
keinen Pfennig wert sein	1745	keinen Pfennig wert + SEIN	
keinen Pfifferling wert sein	1746	keinen Pfifferling wert + SEIN	
keinen Plan haben	1747	keinen Plan + HABEN	
keinen Schimmer haben	1748	keinen Schimmer + HABEN	
Kette geben	1749	Kette\b + GEBEN + MANUAL_REVIEW	
Kilometer fressen	1750	Kilometer + FRESSEN	
Klappe zu, Affe tot	1751	Klappe zu, Affe tot	
klar Schiff machen	1752	klar Schiff + MACHEN	
klar wie Kloßbrühe	1753	Kloßbrühe	
klar zum Halsen	1754	klar zum Halsen	
klar zum Wenden	1755	klar zum Wenden	
klein beigeben	1756	klein + \bbei(\b|g.b|zugeben|gegeben) + _GEBEN	klein + \bbei(\b|z|g) + _GEBEN
klein, aber fein	1757	klein, aber fein	
klein-klein spielen	1758	klein-klein + spiel	
kleine Brötchen backen	1759	kleine Brötchen + back	
kleinere Brötchen backen	1760	kleinere Brötchen + back	
Kleinvieh macht auch Mist	1761	Kleinvieh + auch + Mist + MACHEN	
Klinken putzen	1762	Klinken + putz	
klipp und klar	1763	klipp und klar	
Knast schieben	1764	Knast + SCHIEBEN	
Kohldampf schieben	1765	Kohldampf + SCHIEBEN	
komme, was wolle	1766	komme\b + was wolle\b	
Kommen und Gehen	1767	Kommen und Gehen	
kommt Zeit, kommt Rat	1768	kommt Zeit + kommt Rat	
Kopf hoch	1769	Kopf hoch	
Kopf und Kragen riskieren	1770	Kopf und Kragen + riskier	
koste es, was es wolle	1771	koste es + was es wolle	
Kreide fressen	1772	Kreide + FRESSEN	
Kreise ziehen	1773	Kreise + ZIEHEN	
Krethi und Plethi	1774	Krethi und Plethi	
Kult sein	1775	Kult + SEIN + MANUAL_REVIEW	
kurz angebunden	1776	kurz angebunden	
kurz und bündig	1777	kurz und bündig	
kurz vor Ultimo	1778	kurz vor Ultimo	
Lack gesoffen haben	1779	Lack gesoffen + HABEN	
Land gewinnen	1780	Land + GEWINNEN + MANUAL_REVIEW	
Land unter	1781	Land unter + MANUAL_REVIEW	
landauf, landab	1782	landauf, landab	
lange Rede, kurzer Sinn	1783	lange Rede + kurzer Sinn	
langer Rede kurzer Sinn	1784	langer Rede + kurzer Sinn	
laut denken	1785	laut + DENKEN	
Laut geben	1786	Laut + GEBEN + MANUAL_REVIEW	
leben und leben lassen	1787	leben und leben + LASSEN	
leben wie Gott in Frankreich	1788	wie Gott in Frankreich	
leck mich am Arsch	1789	leck mich am Arsch	
leeres Stroh dreschen	1790	leeres Stroh + dresch	
leeres Versprechen	1791	\b[Ll]eere[smn]? Versprechens?\b	
Leib und Leben	1792	Leib und Leben	
Leib und Seele	1793	Leib und Seele	
leichten Herzens	1794	leichten Herzens	
Leine ziehen	1795	Leine + ZIEHEN	
letzte Grüße aus Davos	1796	letzte Grüße aus Davos	
let’s fetz	1797	let’s fetz	
lichterloh im Strafraum brennen	1798	lichterloh + im Strafraum + BRENNEN	
Liebe auf den ersten Blick	1799	Liebe auf den ersten Blick	
Liebe machen	1800	Liebe + MACHEN	
Liebe macht blind	1801	Liebe macht blind	
Liebe und Grießschmarren	1802	Liebe und Grießschmarren	
lieben lernen	1803	lieben + LERNEN + MANUAL_REVIEW	
lieber ein Ende mit Schrecken als ein Schrecken ohne Ende	1804	ein Ende mit Schrecken + ein Schrecken ohne Ende	
linke Tasche, rechte Tasche	1805	linke Tasche, rechte Tasche	
links liegen lassen	1806	links liegen + LASSEN	
locker vom Hocker	1807	locker vom Hocker	
Luft holen	1808	Luft + HOLEN	
Luftschlösser bauen	1809	Luftschlösser + BAUEN	
Lunte riechen	1810	Lunte + RIECHEN	
lästiges Wimmerl	1811	\b[Ll]ästige[smn]? Wimmerls?\b	
lügen wie gedruckt	1812	wie gedruckt + LÜGEN	
lügen, dass sich die Balken biegen	1813	die Balken + LÜGEN	
macht nichts	1814	macht nichts + MANUAL_REVIEW	
machtlos vis-à-vis stehen	1815	machtlos vis-à-vis + STEHEN	machtlos vis-à-vis + SEIN
mach’s gut	1816	mach’s gut	
man lernt nie aus	1817	man lernt nie aus	
Mann und Maus	1818	Mann und Maus	
Manschetten haben	1819	Manschetten + HABEN	
Marke Bahndamm	1820	Marke Bahndamm	
Marke Eigenbau	1821	Marke Eigenbau	
maschallah	1822	maschallah	
matt setzen	1823	matt + SETZEN	
Matthäi am Letzten sein	1824	Matthäi am Letzten + SEIN	
Maulaffen feilhalten	1825	Maulaffen + \bfeil(\b|h|z|g) + _HALTEN	
mehr Glück als Verstand haben	1826	mehr Glück als Verstand + HABEN	
mehr schlecht als recht	1827	mehr schlecht als recht	
mehr Schulden als Haare auf dem Kopf haben	1828	Schulden + Haare auf dem Kopf + HABEN	
mehrere Eisen im Feuer haben	1829	Eisen im Feuer	
mein lieber Herr Gesangsverein	1830	mein lieber Herr Gesangsverein	
mein lieber Scholli	1831	mein lieber Scholli	
mein lieber Schwan	1832	mein lieber Schwan	
mein Name ist Hase	1833	mein Name ist Hase	
meine Fresse	1834	meine Fresse	
meine Wenigkeit	1835	meine Wenigkeit	
mir nichts, dir nichts	1836	mir nichts, dir nichts	
mit Abstand	1837	mit Abstand	
mit Ach und Krach	1838	mit Ach und Krach	
mit allem und jedem rechnen	1839	mit allem und jedem + rechn	
mit allen Hunden gehetzt sein	1840	mit allen Hunden gehetzt + SEIN	
mit allen Schikanen	1841	mit allen Schikanen	
mit allen Wassern gewaschen sein	1842	mit allen Wassern + gewaschen + SEIN	
mit Alsterwasser getauft sein	1843	mit Alsterwasser + getauft + SEIN	
mit angezogener Handbremse	1844	mit angezogener Handbremse	
mit Blitzesschnelle	1845	mit Blitzesschnelle	
mit bloßem Auge	1846	mit bloßem Auge	
mit Bomben und Granaten	1847	mit Bomben und Granaten	
mit dem Feuer spielen	1848	mit dem Feuer + spiel	ein Spiel + mit dem Feuer
mit dem Klammerbeutel gepudert sein	1849	mit dem Klammerbeutel gepudert + SEIN	
mit dem Kopf durch die Wand wollen	1850	mit dem Kopf + durch die Wand + WOLLEN	
mit dem Latein am Ende sein	1851	mit dem Latein am Ende + SEIN	
mit dem linken Fuß zuerst aufgestanden sein	1852	mit dem linken Fuß + aufgestanden + SEIN	
mit dem Ofenrohr ins Gebirge gucken	1853	mit dem Ofenohr + ins Gebirge + guck	
mit dem Ofenrohr ins Gebirge schauen	1854	mit dem Ofenrohr + ins Gebirge + SCHAUEN	
mit dem Rücken zur Wand stehen	1855	mit dem Rücken zur Wand	
mit dem Strom schwimmen	1856	mit dem Strom + SCHWIMMEN	
mit dem Säbel rasseln	1857	mit dem Säbel + rass(el|le)	
mit dem Zaunpfahl winken	1858	mit + Zaunpfahl + wink	
mit den Hufen scharren	1859	mit den Hufen + scharr	
mit den Schultern zucken	1860	mit den Schultern + zuck	
mit den Wölfen heulen	1861	mit + Wölfen + heul	
mit der fünfzinkigen Gabel essen	1862	mit der fünfzinkigen Gabel + ESSEN	
mit der Sprache herausrücken	1863	mit der Sprache + \bheraus(\b|r|z|g) + rück	
mit der Tür ins Haus fallen	1864	mit der Tür ins Haus + FALLEN	
mit der Wurst nach dem Schinken werfen	1865	mit der Wurst + nach dem Schinken + WERFEN	
mit doppelter Zunge reden	1866	mit doppelter Zunge + REDEN	
mit doppelter Zunge sprechen	1867	mit doppelter Zunge + SPRECHEN	
mit einem Avec	1868	mit einem Avec	
mit einem Bein im Gefängnis stehen	1869	mit einem Bein im Gefängnis + STEHEN	mit einem Bein im Gefängnis + SEIN
mit einem blauen Auge davonkommen	1870	mit einen blauen Auge + \bdavon(\b|k|z|g) + _KOMMEN	
mit einem Fuß im Grab stehen	1871	mit + Fuß im Grab + STEHEN	
mit einem Mal	1872	mit einem Mal	
mit einem Schlag	1873	mit einem Schlag	
mit eisernem Besen kehren	1874	mit eisernem Besen + kehr	
mit erhobenem Zeigefinger	1875	mit erhobenem Zeigefinger	
mit etwas hinter dem Berg halten	1876	hinter dem Berg + HALTEN	
mit etwas hinterm Berg halten	1877	mit + \b([Hh]interm|[Hh]inter dem) Berg\b + HALTEN	
mit etwas ist es nicht getan	1878	mit + es nicht getan	
mit etwas nichts zu tun haben	1879	mit + nichts zu tun + HABEN	
mit etwas nichts zu tun haben wollen	1880	mit + nichts zu tun + haben + WOLLEN	
mit etwas nur so um sich werfen	1881	nur so um SICHB + WERFEN	
mit etwas Schindluder treiben	1882	mit + Schindluder + TREIBEN	
mit etwas schwanger gehen	1883	mit + schwanger + GEHEN + MANUAL_REVIEW	
mit Fleiß	1884	mit Fleiß	
mit Fug und Recht	1885	Fug und Recht	
mit Füßen getreten werden	1886	mit Füßen getreten + WERDEN	
mit genauer Not	1887	mit genauer Not	
mit gespaltener Zunge reden	1888	gespaltener Zunge + REDEN	
mit gespaltener Zunge sprechen	1889	mit gespaltener Zunge + SPRECHEN	
mit gezinkten Karten spielen	1890	mit gezinkten Karten + spiel	
mit Haken und Ösen	1891	mit Haken und Ösen	
mit harten Bandagen kämpfen	1892	mit harten Bandagen + kämpf	
mit heißer Nadel gestrickt	1893	mit heißer Nadel + strick	
mit Hängen und Würgen	1894	mit Hängen und Würgen	
mit jemandem Deutsch reden	1895	Deutsch + REDEN + MANUAL_REVIEW	
mit jemandem ein Hühnchen zu rupfen haben	1896	mit + ein Hühnchen + zu rupfen	
mit jemandem gehen	1897	mit + GEHEN + MANUAL_REVIEW	
mit jemandem in die Wolle geraten	1898	mit + in die Wolle + GERATEN	
mit jemandem ins Bett steigen	1899	ins Bett + STEIGEN	
mit jemandem ist nicht gut Kirschen essen	1900	mit + nicht + gut + Kirschen ESSEN	
mit jemandem Katz und Maus spielen	1901	Katz und Maus + spiel	
mit jemandem nichts zu tun haben wollen	1902	mit + nichts zu tun + haben + WOLLEN	
mit jemandem noch ein Hühnchen zu rupfen haben	1903	mit + \bnoch\b + ein Hühnchen + zu rupfen	
mit jemandem Schindluder treiben	1904	mit + Schindluder + TREIBEN	
mit jemandem Tuchfühlung aufnehmen	1905	mit + Tuchfühlung + \bauf(\b|n|g|z) + _NEHMEN	
mit jemandem Tuchfühlung halten	1906	Tuchfühlung + HALTEN	
mit Kanonen auf Spatzen schießen	1907	mit Kanonen + auf Spatzen + SCHIEẞEN	
mit Kind und Kegel	1908	mit Kind und Kegel	
mit knapper Not	1909	mit knapper Not	
mit Leib und Seele	1910	mit Leib und Seele	
mit List und Tücke	1911	mit List und Tücke	
mit Müh und Not	1912	mit Müh und Not	
mit Mühe und Not	1913	mit Mühe und Not	
mit offenem Visier kämpfen	1914	mit offenem Visier + kämpf	
mit offenen Augen ins Unglück rennen	1915	mit offenen Augen + (in|ins) + RENNEN	
mit offenen Karten spielen	1916	mit offenen Karten + spiel	
mit Pauken und Trompeten	1917	mit Pauken und Trompeten	
mit rechten Dingen zugehen	1918	mit rechten Dingen + ZU_GEHEN	
mit Sack und Pack	1919	mit Sack und Pack	
mit seinem Latein am Ende sein	1920	mit SEINMND Latein am Ende + SEIN	mit SEINMND Latein zu Ende + SEIN
mit seinem Latein zu Ende sein	1921	mit SEINMND Latein zu Ende + SEIN	
mit seinen Pfunden wuchern	1922	mit SENEN Pfunden + wucher	
mit sich reden lassen	1923	mit SICHD + reden + LASSEN	
mit Speck fängt man Mäuse	1924	mit Speck + (Maus|Mäuse) + FANGEN	
mit spitzer Feder rechnen	1925	mit spitzer Feder + rechn	
mit Spreewasser getauft sein	1926	mit Spreewasser + getauft + SEIN	
mit unbewaffnetem Auge	1927	mit unbewaffnetem Auge	
mit verdeckten Karten spielen	1928	mit verdeckten Karten + spiel	
mit von der Partie sein	1929	mit von der Partie + SEIN	
mit wehenden Fahnen	1930	mit wehenden Fahnen	
mit Zitronen handeln	1931	mit Zitronen + hand(el|le)	
mit zweierlei Maß messen	1932	mit zweierlei Maß + MESSEN	
miteinander schlafen	1933	miteinander + SCHLAFEN	
mitgefangen, mitgehangen	1934	mitgefangen + mitgehangen	
mitgegangen, mitgefangen	1935	mitgegangen + mitgefangen	
mitgegangen, mitgehangen	1936	mitgegangen + mitgehangen	
Moos ansetzen	1937	Moos + \ban(\b|s|z|g) + _SETZEN	
Morgenluft schnuppern	1938	Morgenluft + schnupper	
Morgenluft wittern	1939	Morgenluft + witter	
mutatis mutandis	1940	mutatis mutandis	
Mutter Courage	1941	Mutter Courage	
Männchen machen	1942	Männchen + MACHEN	
Männlein und Weiblein	1943	Männlein und Weiblein	
Mücken seihen und Kamele verschlucken	1944	Mücken + Kamele + verschluck	
na und	1945	\bna und\b	
nach Adam Ries	1946	nach Adam Ries	
nach Adam Riese	1947	nach Adam Riese	
nach dem Mond gehen	1948	nach dem Mond + GEHEN	
nach den Sternen greifen	1949	nach den Sternen + GREIFEN	
nach Herzenslust	1950	nach Herzenslust	
nach hinten losgehen	1951	nach hinten + \blos(\b|zugehen|g) + _GEHEN	nach hinten + \blos(\b|z|g) + _GEHEN
nach Lust und Laune	1952	nach Lust und Laune	
nach menschlichem Ermessen	1953	nach menschlichem Ermessen	
nach Schema F	1954	nach Schema F	
nach sich ziehen	1955	nach SICHD + ZIEHEN	
nach Strich und Faden	1956	nach Strich und Faden	
nachtaus, nachtein	1957	nachtaus.*nachtein	
nachtein, nachtaus	1958	nachtein.*nachtaus	
nah am Wasser gebaut	1959	nah am Wasser gebaut	
nass bis auf die Haut	1960	nass + bis auf die Haut	
Nebelkerzen werfen	1961	Nebelkerzen + WERFEN	
neben der Kappe sein	1962	neben der Kappe	
Nerven wie Drahtseile haben	1963	Nerven wie Drahtselie + HABEN	
Nerven wie Stahl haben	1964	Nerven wie Stahl + HABEN	
Nerven wie Stricke haben	1965	Nerve wie Stricke + HABEN	
neue Besen kehren gut	1966	neue Besen + kehren + gut	
nicht alle Latten am Zaun haben	1967	alle Latten am Zaun + HABEN	
nicht alle Pfeile im Köcher haben	1968	nicht alle Pfeile im Köcher + HABEN	
nicht alle Tassen im Schrank haben	1969	alle Tassen + im Schrank	alle Latten + am Zaun
nicht auf allen Hochzeiten gleichzeitig tanzen können	1970	nicht + auf allen Hochzeiten gleichzeitig tanzen + KÖNNEN	
nicht auf allen Hochzeiten tanzen können	1971	nicht + auf allen Hochzeiten tanzen + KÖNNEN	
nicht auf den Mund gefallen sein	1972	nicht auf den Mund gefallen + SEIN	
nicht auf der Brennsuppe dahergeschwommen sein	1973	auf der Brennsuppe + MANUAL_REVIEW	
nicht auf zwei Hochzeiten gleichzeitig tanzen können	1974	nicht + auf zwei Hochzeiten gleichzeitig tanzen + KÖNNEN	
nicht auf zwei Hochzeiten tanzen können	1975	nicht + auf zwei Hochzeiten tanzen + KÖNNEN	
nicht aus dem Quark kommen	1976	nicht aus dem Quark + KOMMEN	
nicht aus der Welt sein	1977	nicht aus der Welt + SEIN	
nicht das Gelbe vom Ei sein	1978	nicht das Gelbe vom Ei + SEIN	
nicht der Rede wert sein	1979	nicht der Rede wert + SEIN	
nicht die Bohne	1980	nicht die Bohne	
nicht die Bohne interessieren	1981	nicht + die Bohne + interessier	
nicht die feine englische Art sein	1982	nicht die feine englische Art + SEIN	
nicht ganz bei Trost sein	1983	nicht ganz bei Trost + SEIN	
nicht gerade das Gelbe vom Ei sein	1984	nicht gerade das Gelbe vom Ei + SEIN	
nicht gerade die tiefen Teller erfunden haben	1985	die tiefen Teller + erfunden + HABEN	
nicht im Entferntesten	1986	nicht im Entferntesten	
nicht jemandes Bier sein	1987	nicht SEINNN Bier + SEIN	
nicht lange fackeln	1988	nicht lange + fack(el|le)	
nicht müde werden	1989	nicht müde + WERDEN	
nicht ohne sein	1990	nicht ohne + SEIN + MANUAL_REVIEW	
nicht um Haaresbreite nachgeben	1991	um Haaresbreite + \bnach(\b|z|g) + _GEBEN	
nicht ums Verrecken	1992	nicht ums Verrecken	
nicht vom Fleck kommen	1993	nicht vom Fleck + KOMMEN	
nicht von gestern sein	1994	nicht von gestern + SEIN	
nicht von schlechten Eltern	1995	nicht von schlechten Eltern	
nicht von zwölf bis Mittag	1996	nicht von zwölf bis Mittag	
nicht zu Schmidtchen gehen, sondern zu Schmidt	1997	nicht zu Schmidtchen + sondern zu Schmidt	
nichts anbrennen lassen	1998	nichts anbrennen + LASSEN	
nichts für ungut	1999	nichts für ungut	
nichts Gutes im Schilde führen	2000	nichts Gutes + im Schilde + FÜHREN	
nichts wie …	2001	nichts wie + MANUAL_REVIEW	
nichts zu melden haben	2002	nichts zu melden + HABEN	
Nille kauen	2003	Nille + KAUEN	
Nille knabbern	2004	Nille + knabber	
noch einen Pfeil im Köcher haben	2005	einen Pfeil + im Köcher + HABEN	
noch grün hinter den Ohren sein	2006	noch grün + hinter den Ohren + SEIN	
noch in den Kinderschuhen stecken	2007	in den Kinderschuhen + STECKEN	
noch ist Polen nicht verloren	2008	Polen + nicht + verloren + noch + SEIN	
noch und noch	2009	noch und noch	
nomen est omen	2010	nomen est omen	
nun schlägts dreizehn	2011	nun schlägts dreizehn	
nur Bahnhof verstehen	2012	nur Bahnhof + VERSTEHEN	
